iso3,country,year,gdp_current_usd,global_gdp_total,gdp_share,gdp_log,gdp_rank,gdp_share_change
AUS,Australia,1962,19953923192.6277,1445098147358.0273,0.013808005517900686,10.300028296183285,10,-0.0008051919195375991
BRA,Brazil,1962,19231747851.5332,1445098147358.0273,0.013308264138801415,10.28401875630197,11,0.0005017328382668582
SWE,Sweden,1962,18794066990.0612,1445098147358.0273,0.013005391380800735,10.274020770532635,12,0.00015906737930920962
ARG,Argentina,1962,18337691145.3688,1445098147358.0273,0.012689581796844962,10.263344653801374,13,-0.002234289417919099
ESP,Spain,1962,16609632790.5843,1445098147358.0273,0.011493774883699449,10.220360031079583,14,0.0009391531805428774
NLD,Netherlands,1962,15847582341.1664,1445098147358.0273,0.010966440148123804,10.199963016965313,15,0.00014368567401373475
MEX,Mexico,1962,15200000000.0,1445098147358.0273,0.010518316716265332,10.181843587944773,16,2.1609822254336358e-05
BEL,Belgium,1962,13436827166.5187,1445098147358.0273,0.009298210776260642,10.128296731013426,17,-1.368899601359927e-05
CHE,Switzerland,1962,12989649694.2812,1445098147358.0273,0.008988766415644,10.113597439149084,18,0.0003057445610518475
ZAF,South Africa,1962,9813996074.40157,1445098147358.0273,0.006791231510706603,9.991845879927139,19,-4.79336776488962e-05
TUR,Turkiye,1962,8922222222.22222,1445098147358.0273,0.006174128891199604,9.950473035839355,20,0.0002520226005578059
